series_code,series,unit,date_basis,1953-05,1953-06,1953-07,1953-08,1953-09,1953-10,1953-11,1953-12,1954-01,1954-02,1954-03,1954-04,1954-05,1954-06,1954-07,1954-08,1954-09,1954-10,source_id,issue_vintage,printed_page,verification
10,National Bank total assets,millions of US dollars,about 20th of month,172,171,168,172,184,185,180,186,181,193,205,198,191,183,182,173,NA,NA,SUP-057,1954-12,109,image-checked
11,National Bank gold,millions of US dollars,about 20th of month,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,NA,NA,SUP-057,1954-12,109,image-checked
12,National Bank foreign exchange,millions of US dollars,about 20th of month,35,34,30,35,47,47,43,48,44,56,67,61,54,46,44,35,NA,NA,SUP-057,1954-12,109,image-checked
30,National Bank and other banks foreign assets,billions of rials,about 20th of month,5.54,5.51,5.40,5.54,5.93,5.94,5.80,5.97,5.83,6.22,6.58,6.38,6.15,5.90,5.85,5.56,NA,NA,SUP-057,1954-12,109,image-checked
31,Domestic loans and investments,billions of rials,about 20th of month,18.96,19.74,20.38,20.89,21.55,21.80,21.89,22.73,22.59,22.35,23.59,23.37,23.64,23.58,NA,NA,NA,NA,SUP-057,1954-12,109,image-checked
50,Money supply,billions of rials,about 20th of month,18.06,19.54,19.36,19.73,20.17,20.50,20.31,20.77,20.68,20.55,21.90,21.35,21.47,21.12,NA,NA,NA,NA,SUP-057,1954-12,109,image-checked
80,Wholesale prices all goods,index 1948=100,year ending December series shown monthly,109,111,114,116,119,122,128,129,129,131,132,132,134,134,135,134,131,NA,SUP-057,1954-12,109,image-checked
84,Cost of living,index 1948=100,year ending December series shown monthly,104,105,106,107,109,110,114,117,118,117,120,129,130,128,126,125,125,NA,SUP-057,1954-12,109,image-checked
90,Crude petroleum production,index 1948=100,year ending December series shown monthly,6,7,7,7,5,6,4,4,7,10,9,9,NA,NA,NA,NA,NA,NA,SUP-057,1954-12,109,image-checked
